name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;871;0;871;3043;1631;3043;1586;0
header;766;163;766;191;1752;191;1752;163
A;934;228;934;255;955;255;955;228
B;937;898;937;925;957;925;957;898
B;1584;1115;1584;1128;1592;1128;1592;1115
A;1466;1209;1466;1220;1473;1220;1473;1209
C;933;1571;933;1601;956;1601;956;1571
A;1531;2036;1531;2048;1538;2048;1538;2036
B;1049;2072;1049;2091;1063;2091;1063;2072
D;936;2239;936;2267;957;2267;957;2239
A;1511;2258;1511;2263;1545;2263;1545;2258
C;1250;2855;1250;2881;1267;2881;1267;2855
A;980;2935;980;2937;982;2937;982;2935
